Brand,Year,Kilometers Driven,Fuel Type,No of Owners,Price(in rupees)
Maruti Suzuki Swift Dzire Tour,2018,65000.0,DIESEL,2nd,530000
Skoda Rapid,2013,81000.0,DIESEL,2nd,455000
 , , , , , 
Hyundai Xcent,2016,70000,CNG,First,380000
Renault Duster,2014,120000,DIESEL,Second,425000
Ashok Leyland Stile,2022,18,DIESEL,1st,900000
Hyundai Fluidic Verna,2013,"190,000",DIESEL,1st,525000
Hyundai I20,2015,"70,500",DIESEL,1st,550000
Maruti Suzuki Celerio,2014,90000.0,PETROL,2nd,340000
Hyundai Verna,2015,60000.0,DIESEL,1st,649999
Maruti Suzuki Wagon R,2017,110000.0,PETROL,2nd,425000
Honda City,2015,57000.0,DIESEL,1st,690000
 , , , , , 
Honda City,2018,53000.0,DIESEL,1st,975000
Maruti Suzuki Zen,2004,"155,000",PETROL,1st,145000
Hyundai Santro,2004,"110,000",PETROL,2nd,85000
Hyundai I20,2013,60000.0,DIESEL,1st,395000
Honda City,2015,53000.0,DIESEL,1st,651000
Toyota Etios,2015,"65,245",PETROL,1st,335000
Mahindra Marazzo,2019,"19,500",DIESEL,1st,950000
Ford Ecosport,2015,65000.0,PETROL,1st,499999
Hyundai I10,2011,"46,928",PETROL,2nd,245000
Bmw 3 Series,2018,9280.0,DIESEL,1st,4250000
Mahindra Bolero Pik-Up,2017,30000,DIESEL,First,590000
Toyota Innova,2015,160000,DIESEL,Second,800000
Maruti Suzuki Alto,2014,"3,200",DIESEL,1st,1140000
Maruti Suzuki 800,2000,"85,000",PETROL,2nd,32000
Mercedes-Benz New C-Class,2015,40000,DIESEL,First,2650000
Toyota Etios Liva,2011,"106,418",DIESEL,2nd,390000
Mahindra Bolero,2015,--,DIESEL,2nd,460000
Skoda Octavia,2008,"117,000",DIESEL,3rd,220000
Maruti Suzuki Estilo,2008,64000.0,PETROL,2nd,150000
Hyundai Accent,2003,90000.0,PETROL,4th,110000
Honda City,2020,10000.0,PETROL,1st,1325000
Honda City,2016,40000.0,PETROL,1st,675000
Maruti Suzuki Swift Dzire,2017,"49,000",DIESEL,1st,675000
Hyundai I20,2010,"100,000",PETROL,1st,230000
Hyundai Santro,2018,15000.0,PETROL,1st,435000
Mahindra Xuv500,2018,39841.0,DIESEL,1st,1399000
Renault Triber,2019,16930.0,PETROL,1st,650000
Maruti Suzuki Swift Dzire Tour,2018,65000.0,DIESEL,2nd,530000
Skoda Rapid,2013,81000.0,DIESEL,2nd,455000
 , , , , , 
Hyundai Xcent,2016,70000,CNG,First,380000
Renault Duster,2014,120000,DIESEL,Second,425000
Ashok Leyland Stile,2022,18,DIESEL,1st,900000
Hyundai Fluidic Verna,2013,"190,000",DIESEL,1st,525000
Hyundai I20,2015,"70,500",DIESEL,1st,550000
Maruti Suzuki Celerio,2014,90000.0,PETROL,2nd,340000
Hyundai Verna,2015,60000.0,DIESEL,1st,649999
Maruti Suzuki Wagon R,2017,110000.0,PETROL,2nd,425000
Honda City,2015,57000.0,DIESEL,1st,690000
Renault Duster,2013,"106,579",DIESEL,1st,350000
Honda City,2018,53000.0,DIESEL,1st,975000
Maruti Suzuki Zen,2004,"155,000",PETROL,1st,145000
Hyundai Santro,2004,"110,000",PETROL,2nd,85000
Hyundai I20,2013,60000.0,DIESEL,1st,395000
Honda City,2015,53000.0,DIESEL,1st,651000
Toyota Etios,2015,"65,245",PETROL,1st,335000
Mahindra Marazzo,2019,"19,500",DIESEL,1st,950000
Ford Ecosport,2015,65000.0,PETROL,1st,499999
Hyundai I10,2011,46928.0,PETROL,2nd,245000
Bmw 3 Series,2018,9280.0,DIESEL,1st,4250000
Mahindra Bolero Pik-Up,2017,30000,DIESEL,First,590000
Toyota Innova,2015,160000,DIESEL,Second,800000
Maruti Suzuki Alto,2014,"3,200",DIESEL,1st,1140000
Maruti Suzuki 800,2000,"85,000",PETROL,2nd,32000
Mercedes-Benz New C-Class,2015,40000,DIESEL,First,2650000
Toyota Etios Liva,2011,"106,418",DIESEL,2nd,390000
Mahindra Bolero,2015,--,DIESEL,2nd,460000
Skoda Octavia,2008,"117,000",DIESEL,3rd,220000
Maruti Suzuki Estilo,2008,64000.0,PETROL,2nd,150000
Hyundai Accent,2003,90000.0,PETROL,4th,110000
Honda City,2020,10000.0,PETROL,1st,1325000
Honda City,2016,40000.0,PETROL,1st,675000
Maruti Suzuki Swift Dzire,2017,"49,000",DIESEL,1st,675000
Hyundai I20,2010,"100,000",PETROL,1st,230000
Hyundai Santro,2018,15000.0,PETROL,1st,435000
Mahindra Xuv500,2018,39841.0,DIESEL,1st,1399000
Renault Triber,2019,16930.0,PETROL,1st,650000
Maruti Suzuki Swift Dzire Tour,2018,65000.0,DIESEL,2nd,530000
Skoda Rapid,2013,81000.0,DIESEL,2nd,455000
 , , , , , 
Hyundai Xcent,2016,70000,CNG,First,380000
Renault Duster,2014,120000,DIESEL,Second,425000
Ashok Leyland Stile,2022,18,DIESEL,1st,900000
Hyundai Fluidic Verna,2013,"190,000",DIESEL,1st,525000
Hyundai I20,2015,"70,500",DIESEL,1st,550000
Maruti Suzuki Celerio,2014,90000.0,PETROL,2nd,340000
Hyundai Verna,2015,60000.0,DIESEL,1st,649999
Maruti Suzuki Wagon R,2017,110000.0,PETROL,2nd,425000
Honda City,2015,57000.0,DIESEL,1st,690000
Renault Duster,2013,"106,579",DIESEL,1st,350000
Honda City,2018,53000.0,DIESEL,1st,975000
Maruti Suzuki Zen,2004,"155,000",PETROL,1st,145000
Hyundai Santro,2004,"110,000",PETROL,2nd,85000
Hyundai I20,2013,60000.0,DIESEL,1st,395000
Honda City,2015,53000.0,DIESEL,1st,651000
Toyota Etios,2015,"65,245",PETROL,1st,335000
Mahindra Marazzo,2019,"19,500",DIESEL,1st,950000
Ford Ecosport,2015,65000.0,PETROL,1st,499999
Hyundai I10,2011,46928.0,PETROL,2nd,245000
Bmw 3 Series,2018,9280.0,DIESEL,1st,4250000
Mahindra Bolero Pik-Up,2017,30000,DIESEL,First,590000
Toyota Innova,2015,160000,DIESEL,Second,800000
Maruti Suzuki Alto,2014,"3,200",DIESEL,1st,1140000
Maruti Suzuki 800,2000,"85,000",PETROL,2nd,32000
Mercedes-Benz New C-Class,2015,40000,DIESEL,First,2650000
Toyota Etios Liva,2011,"106,418",DIESEL,2nd,390000
Mahindra Bolero,2015,--,DIESEL,2nd,460000
Skoda Octavia,2008,"117,000",DIESEL,3rd,220000
Maruti Suzuki Estilo,2008,64000.0,PETROL,2nd,150000
Hyundai Accent,2003,90000.0,PETROL,4th,110000
Honda City,2020,10000.0,PETROL,1st,1325000
Honda City,2016,40000.0,PETROL,1st,675000
Maruti Suzuki Swift Dzire,2017,"49,000",DIESEL,1st,675000
Hyundai I20,2010,"100,000",PETROL,1st,230000
Hyundai Santro,2018,15000.0,PETROL,1st,435000
Mahindra Xuv500,2018,39841.0,DIESEL,1st,1399000
Renault Triber,2019,16930.0,PETROL,1st,650000
Maruti Suzuki Swift Dzire Tour,2018,65000.0,DIESEL,2nd,530000
Maruti Suzuki Swift Dzire Tour,2018,65000.0,DIESEL,2nd,530000
Skoda Rapid,2013,81000.0,DIESEL,2nd,455000
 , , , , , 
Hyundai Xcent,2016,70000,CNG,First,380000
Renault Duster,2014,120000,DIESEL,Second,425000
Ashok Leyland Stile,2022,18,DIESEL,1st,900000
Hyundai Fluidic Verna,2013,"190,000",DIESEL,1st,525000
Hyundai I20,2015,"70,500",DIESEL,1st,550000
Maruti Suzuki Celerio,2014,90000.0,PETROL,2nd,340000
Hyundai Verna,2015,60000.0,DIESEL,1st,649999
Maruti Suzuki Wagon R,2017,110000.0,PETROL,2nd,425000
Honda City,2015,57000.0,DIESEL,1st,690000
Renault Duster,2013,"106,579",DIESEL,1st,350000
Honda City,2018,53000.0,DIESEL,1st,975000
Maruti Suzuki Zen,2004,"155,000",PETROL,1st,145000
Hyundai Santro,2004,"110,000",PETROL,2nd,85000
Hyundai I20,2013,60000.0,DIESEL,1st,395000
Honda City,2015,53000.0,DIESEL,1st,651000
Toyota Etios,2015,"65,245",PETROL,1st,335000
Mahindra Marazzo,2019,"19,500",DIESEL,1st,950000
Ford Ecosport,2015,65000.0,PETROL,1st,499999
Hyundai I10,2011,46928.0,PETROL,2nd,245000
Bmw 3 Series,2018,9280.0,DIESEL,1st,4250000
Mahindra Bolero Pik-Up,2017,30000,DIESEL,First,590000
Toyota Innova,2015,160000,DIESEL,Second,800000
Maruti Suzuki Alto,2014,"3,200",DIESEL,1st,1140000
Maruti Suzuki 800,2000,"85,000",PETROL,2nd,32000
Mercedes-Benz New C-Class,2015,40000,DIESEL,First,2650000
Toyota Etios Liva,2011,"106,418",DIESEL,2nd,390000
Mahindra Bolero,2015,--,DIESEL,2nd,460000
Skoda Octavia,2008,"117,000",DIESEL,3rd,220000
Maruti Suzuki Estilo,2008,64000.0,PETROL,2nd,150000
Hyundai Accent,2003,90000.0,PETROL,4th,110000
Honda City,2020,10000.0,PETROL,1st,1325000
Honda City,2016,40000.0,PETROL,1st,675000
Maruti Suzuki Swift Dzire,2017,"49,000",DIESEL,1st,675000
Hyundai I20,2010,"100,000",PETROL,1st,230000
Hyundai Santro,2018,15000.0,PETROL,1st,435000
Mahindra Xuv500,2018,39841.0,DIESEL,1st,1399000
Renault Triber,2019,16930.0,PETROL,1st,650000
Maruti Suzuki Swift Dzire Tour,2018,65000.0,DIESEL,2nd,530000
Skoda Rapid,2013,81000.0,DIESEL,2nd,455000
 , , , , , 
Hyundai Xcent,2016,70000,CNG,First,380000
Renault Duster,2014,120000,DIESEL,Second,425000
Ashok Leyland Stile,2022,18,DIESEL,1st,900000
Hyundai Fluidic Verna,2013,"190,000",DIESEL,1st,525000
Hyundai I20,2015,"70,500",DIESEL,1st,550000
 , , , , , 
Hyundai Verna,2015,60000.0,DIESEL,1st,649999
Maruti Suzuki Wagon R,2017,110000.0,PETROL,2nd,425000
Honda City,2015,57000.0,DIESEL,1st,690000
Renault Duster,2013,"106,579",DIESEL,1st,350000
 , , , , , 
Maruti Suzuki Zen,2004,"155,000",PETROL,1st,145000
Hyundai Santro,2004,"110,000",PETROL,2nd,85000
Hyundai I20,2013,60000.0,DIESEL,1st,395000
Honda City,2015,53000.0,DIESEL,1st,651000
Toyota Etios,2015,"65,245",PETROL,1st,335000
Mahindra Marazzo,2019,"19,500",DIESEL,1st,950000
Ford Ecosport,2015,65000.0,PETROL,1st,499999
Hyundai I10,2011,46928.0,PETROL,2nd,245000
Bmw 3 Series,2018,9280.0,DIESEL,1st,4250000
Mahindra Bolero Pik-Up,2017,30000,DIESEL,First,590000
Toyota Innova,2015,160000,DIESEL,Second,800000
Maruti Suzuki Alto,2014,"3,200",DIESEL,1st,1140000
Maruti Suzuki 800,2000,"85,000",PETROL,2nd,32000
Mercedes-Benz New C-Class,2015,40000,DIESEL,First,2650000
Toyota Etios Liva,2011,"106,418",DIESEL,2nd,390000
Mahindra Bolero,2015,--,DIESEL,2nd,460000
Skoda Octavia,2008,"117,000",DIESEL,3rd,220000
Maruti Suzuki Estilo,2008,64000.0,PETROL,2nd,150000
Hyundai Accent,2003,90000.0,PETROL,4th,110000
Honda City,2020,10000.0,PETROL,1st,1325000
Honda City,2016,40000.0,PETROL,1st,675000
Maruti Suzuki Swift Dzire,2017,"49,000",DIESEL,1st,675000
Hyundai I20,2010,"100,000",PETROL,1st,230000
Hyundai Santro,2018,15000.0,PETROL,1st,435000
Mahindra Xuv500,2018,39841.0,DIESEL,1st,1399000
Renault Triber,2019,16930.0,PETROL,1st,650000
